"JOB_ID","MACHINE_ID","JOB_DESC","DUE_DATE","CUSTOMER","GLOBE_JOB_NUM","FINISH_DATE","YIELD_QTY","ORDER_QTY","START_DATE","MATERIAL_DATE"
200001,40,"GL200001 GPI",1673409599,49,"GL200001",1672664080,0,900,1672660620,1672549200
200002,40,"GL200002 CARDBOX",1673495999,4,"GL200002",1672668910,0,1000,1672664090,1672549200
200003,40,"GL200003 KEYSTONE",1673668799,32,"GL200003",1672703620,0,800,1672701530,1672549200
200004,40,"GL200004 CULTECH",1673668799,43,"GL200004",1672759700,0,26800,1672703630,1672549200
200005,40,"GL200005 ARKAY",1673236799,39,"GL200005",1672660610,0,1200,1672657200,1672549200
200006,35,"GL200006 MENASHA",1673409599,14,"GL200006",1672684000,0,35400,1672671040,1672549200
200007,35,"GL200007 MENASHA",1673582399,14,"GL200007",1672713910,0,1100,1672710970,1672549200
200008,35,"GL200008 GRAPHIC MGMT",1673323199,33,"GL200008",1672671030,0,30600,1672657200,1672549200
200009,35,"GL200009 GPI",1673409599,49,"GL200009",1672704630,0,53400,1672684010,1672549200
200010,35,"GL200010 ARKAY",1673582399,39,"GL200010",1672745650,0,700,1672713920,1672549200
200011,51,"GL200011 GPA GLOBAL",1673841599,48,"GL200011",1672940010,0,26400,1672923740,1672549200
200012,51,"GL200012 IPB",1673409599,34,"GL200012",1672800870,0,62900,1672768210,1672549200
200013,51,"GL200013 MENASHA",1673236799,14,"GL200013",1672768200,0,171300,1672657200,1672549200
200014,51,"GL200014 KEYSTONE",1673409599,32,"GL200014",1672837680,0,10400,1672800880,1672549200
200015,51,"GL200015 CULTECH",1673409599,43,"GL200015",1672923730,0,130300,1672837690,1672549200
200016,55,"GL200016 IPB",1673409599,34,"GL200016",1672665400,0,21200,1672657200,1672549200
200017,55,"GL200017 MENASHA",1673409599,14,"GL200017",1672673290,0,12400,1672665410,1672549200
200018,55,"GL200018 CARDBOX",1673668799,4,"GL200018",1672799700,0,117400,1672696980,1672549200
200019,55,"GL200019 MENASHA",1673841599,14,"GL200019",1672856840,0,84300,1672799710,1672549200
200020,55,"GL200020 CARDBOX",1673495999,4,"GL200020",1672696970,0,30400,1672673300,1672549200
200021,57,"GL200021 CO2",1673495999,50,"GL200021",1672675140,0,19000,1672669010,1672549200
200022,57,"GL200022 GHP",1673582399,45,"GL200022",1672681340,0,10200,1672675150,1672549200
200023,57,"GL200023 IPB",1673927999,34,"GL200023",1672705630,0,21300,1672694680,1672549200
200024,57,"GL200024 KEYSTONE",1673409599,32,"GL200024",1672669000,0,33400,1672657200,1672549200
200025,57,"GL200025 CARDBOX",1673582399,4,"GL200025",1672694670,0,34300,1672681350,1672549200
200026,58,"GL200026 CO2",1673409599,50,"GL200026",1672860280,0,103800,1672779540,1672549200
200027,58,"GL200027 KEYSTONE",1673323199,32,"GL200027",1672766160,0,156200,1672680430,1672549200
200028,58,"GL200028 CARDBOX",1673323199,4,"GL200028",1672779530,0,33500,1672766170,1672549200
200029,58,"GL200029 GRAPHIC MGMT",1673236799,33,"GL200029",1672680420,0,54100,1672657200,1672549200
200030,58,"GL200030 GRAPHIC MGMT",1673495999,33,"GL200030",1672869650,0,21100,1672860290,1672549200
200031,50,"GL200031 MENASHA",1673323199,14,"GL200031",1672708500,0,96600,1672657200,1672549200
200032,50,"GL200032 CULTECH",1673582399,43,"GL200032",1672790280,0,111100,1672744620,1672549200
200033,50,"GL200033 GHP",1673409599,45,"GL200033",1672744610,0,15700,1672708510,1672549200
200034,50,"GL200034 IPB",1673582399,34,"GL200034",1672842990,0,27800,1672790290,1672549200
200035,50,"GL200035 KEYSTONE",1673582399,32,"GL200035",1672854490,0,25800,1672843000,1672549200
200036,49,"GL200036 IPB",1673495999,34,"GL200036",1672663760,0,1300,1672661150,1672549200
200037,49,"GL200037 GPI",1673409599,49,"GL200037",1672661140,0,2500,1672657200,1672549200
200038,49,"GL200038 ALBERT",1673755199,52,"GL200038",1672930600,0,18600,1672882480,1672549200
200039,49,"GL200039 GRAPHIC MGMT",1673668799,33,"GL200039",1672882470,0,61200,1672855280,1672549200
200040,49,"GL200040 CARDBOX",1673582399,4,"GL200040",1672855270,0,133700,1672663770,1672549200
